SalesID,SalesPersonID,CustomerID,ProductID,Quantity,Discount,TotalPrice,SalesDate,TransactionNumber
1,23,85448,200,2,0,22.26,09/06/2024 11:53,T-500771
2,19,15527,405,3,0,1.28,12/12/2023 10:31,T-503324
3,19,5660,200,4,0.05,42.29,07/12/2024 08:33,T-502966
4,13,87241,405,1,0,0.43,06/01/2023 11:06,T-503874
5,21,76379,405,1,0,0.43,03/08/2024 14:13,T-503393
6,15,76379,405,11,0.1,4.24,01/12/2024 16:03,T-508218
7,9,76379,405,3,0,1.28,01/12/2024 12:15,T-503802
8,17,34578,200,12,0.15,113.52,09/12/2023 19:03,T-502128
9,7,76379,405,4,0,1.71,20/04/2024 19:27,T-503801
10,21,76379,414,1,0,83.06,02/07/2024 10:59,T-511583
11,10,76379,426,6,0.05,476.38,01/12/2023 11:28,T-514975
12,18,10314,405,16,0.2,5.48,16/01/2024 17:03,T-501185
13,19,76379,200,3,0,33.39,21/06/2023 11:56,T-504862
14,23,76379,405,4,0.05,1.63,31/05/2024 15:46,T-508427
15,15,66424,405,3,0,1.28,20/05/2023 16:14,T-508309
16,21,76379,405,7,0.05,2.84,08/11/2023 17:33,T-500222
17,17,41877,200,2,0,22.26,13/11/2023 09:21,T-503672
18,13,76379,405,13,0.15,4.73,25/01/2023 09:45,T-514755
19,23,76379,405,2,0,0.86,20/02/2023 15:23,T-510575
20,21,76426,426,8,0.1,601.75,17/08/2024 13:37,T-506910
21,8,87446,405,11,0.1,4.24,10/05/2023 09:24,T-505023
22,7,76426,405,13,0.15,4.73,02/03/2024 19:47,T-503819
23,9,76379,200,17,0.2,151.36,27/05/2024 18:56,T-514365
24,17,70505,405,2,0,0.86,20/07/2023 16:39,T-513252
25,14,70505,200,3,0,33.39,21/11/2023 19:02,T-507785
26,5,76379,200,4,0,44.52,27/07/2024 14:28,T-510418
27,21,15527,405,4,0,1.71,22/08/2024 19:55,T-500816
28,5,38255,200,7,0.05,74.01,30/06/2024 14:44,T-508533
29,21,76379,152,3,0.05,167.62,13/04/2023 15:51,T-511435
30,12,95363,200,17,0.25,141.9,11/11/2023 12:33,T-506723
31,14,67309,200,4,0.05,42.29,03/03/2023 10:29,T-511196
32,15,76379,405,2,0,0.86,27/12/2024 17:45,T-506708
33,11,76379,200,7,0.1,70.12,08/07/2023 16:41,T-513464
34,19,76379,200,3,0,33.39,14/01/2023 14:13,T-512543
35,16,76799,200,10,0.15,94.6,25/12/2023 18:14,T-510249
36,11,24956,414,2,0,166.12,30/03/2024 13:09,T-502598
37,10,76379,200,2,0,22.26,03/10/2024 16:36,T-509632
38,22,49504,405,2,0,0.86,24/03/2023 18:02,T-505996
39,1,76379,405,3,0,1.28,25/11/2023 16:42,T-504370
40,4,98697,200,10,0.15,94.6,07/10/2024 13:57,T-505342
41,20,76379,200,11,0.15,104.06,20/05/2024 11:20,T-515241
42,7,15098,405,1,0,0.43,14/12/2023 15:23,T-514817
43,19,15527,200,2,0,22.26,11/11/2024 19:01,T-503703
44,13,76379,405,6,0.05,2.44,29/01/2024 15:50,T-500099
45,8,87446,405,5,0.05,2.03,26/01/2024 11:50,T-510410
46,6,19147,405,2,0,0.86,13/11/2024 10:24,T-512865
47,13,8125,405,4,0,1.71,28/02/2024 09:06,T-500722
48,17,76379,200,5,0.05,52.87,19/04/2023 15:18,T-504988
49,16,28949,405,1,0,0.43,20/04/2024 16:48,T-515016
50,16,5660,414,25,0.25,1557.35,22/01/2023 14:00,T-508393
51,5,15527,405,2,0,0.86,10/12/2024 12:39,T-513114
52,18,76379,405,18,0.2,6.16,19/01/2024 14:10,T-502500
53,15,31581,200,3,0,33.39,19/05/2023 17:24,T-509941
54,14,15527,426,6,0.05,476.38,03/12/2023 15:46,T-501707
55,18,52278,405,9,0.1,3.47,31/07/2024 08:39,T-500758
56,19,76379,405,2,0,0.86,03/01/2024 08:44,T-508945
57,16,76379,405,2,0,0.86,03/06/2024 16:11,T-515488
58,19,76379,405,7,0.05,2.84,25/08/2023 12:37,T-503034
59,3,9755,405,18,0.2,6.16,07/10/2023 17:20,T-511381
60,14,76379,405,2,0,0.86,02/05/2024 14:54,T-500907
61,13,76379,405,7,0.05,2.84,23/02/2024 16:48,T-513942
62,15,5660,405,3,0,1.28,29/06/2024 14:50,T-508979
63,6,58625,426,6,0.05,476.38,28/10/2023 13:15,T-510550
64,19,76379,200,7,0.1,70.12,05/05/2023 14:08,T-500449
65,5,87241,405,4,0,1.71,30/12/2024 10:30,T-503300
66,7,87446,200,5,0.05,52.87,07/06/2023 08:51,T-502610
67,7,31581,405,2,0,0.86,29/04/2023 14:25,T-513003
68,17,28827,62,2,0,39.04,01/04/2023 15:14,T-514183
69,5,76379,405,7,0.05,2.84,07/11/2023 19:02,T-501724
70,20,87446,200,1,0,11.13,19/11/2023 12:00,T-508866
71,9,58625,405,3,0,1.28,21/06/2024 09:35,T-506814
72,9,87446,405,3,0,1.28,17/04/2023 12:06,T-513307
73,9,76379,405,22,0.25,7.06,12/06/2023 09:17,T-512138
74,13,5660,405,2,0,0.86,25/05/2023 12:02,T-505133
75,9,87241,200,3,0,33.39,13/09/2023 16:44,T-505411
76,10,76379,405,4,0,1.71,16/09/2023 10:56,T-500319
77,1,5660,405,4,0,1.71,05/07/2023 13:59,T-503258
78,18,15527,200,7,0.1,70.12,10/11/2023 12:07,T-507258
79,17,67309,405,2,0,0.86,23/08/2024 17:32,T-504444
80,22,52278,405,10,0.1,3.85,26/07/2023 11:08,T-505658
81,7,87241,359,7,0.05,459.07,16/10/2023 14:30,T-502311
82,2,76379,405,4,0,1.71,08/08/2023 11:34,T-507265
83,13,76379,405,1,0,0.43,05/12/2024 10:44,T-509608
84,3,52278,405,3,0,1.28,14/05/2023 15:32,T-504716
85,7,76379,405,6,0.05,2.44,14/06/2024 10:42,T-514386
86,12,76379,426,12,0.15,852.47,06/03/2023 14:07,T-513521
87,12,34406,405,4,0.05,1.63,19/12/2023 11:46,T-504111
88,13,76379,200,4,0,44.52,26/04/2023 09:03,T-514653
89,8,76379,426,7,0.05,555.78,25/11/2023 14:23,T-503765
90,22,76379,426,4,0,334.3,04/06/2023 16:12,T-501411
91,5,87446,200,4,0,44.52,15/06/2024 09:36,T-512429
92,14,76426,405,4,0,1.71,06/07/2023 18:56,T-511350
93,4,87241,405,3,0,1.28,03/06/2023 19:54,T-514069
94,1,76379,405,12,0.15,4.36,08/12/2023 08:59,T-500588
95,5,76379,405,1,0,0.43,26/11/2023 12:54,T-508153
96,22,24524,200,4,0,44.52,29/10/2023 16:16,T-505907
97,18,76379,405,13,0.15,4.73,05/10/2023 09:57,T-512786
98,12,66225,405,4,0,1.71,26/05/2024 11:41,T-503525
99,9,76379,405,2,0,0.86,08/12/2024 13:44,T-514212
100,2,76379,405,2,0,0.86,18/02/2023 08:58,T-512038
101,22,62946,426,3,0,250.73,21/02/2023 10:33,T-509359
102,1,76379,386,12,0.1,461.28,09/11/2024 10:14,T-503766
103,15,76379,405,4,0,1.71,05/10/2024 13:21,T-500924
104,9,29819,426,4,0,334.3,26/06/2024 14:39,T-506030
105,22,76379,405,17,0.2,5.82,23/09/2024 10:25,T-506052
106,13,76379,405,6,0.05,2.44,07/12/2023 11:11,T-515134
107,2,31581,405,5,0.05,2.03,01/11/2024 12:23,T-506219
108,23,5660,405,2,0,0.86,02/03/2024 09:06,T-512374
109,3,31581,405,21,0.25,6.74,17/03/2023 10:41,T-502298
110,1,48488,405,17,0.2,5.82,26/11/2023 16:13,T-515252
111,13,63576,200,2,0,22.26,10/06/2023 16:47,T-500452
112,21,76379,405,1,0,0.43,30/08/2023 16:03,T-512776
113,18,76379,405,3,0,1.28,02/05/2024 17:29,T-508869
114,22,76379,405,7,0.05,2.84,07/12/2023 15:37,T-502683
115,4,38234,405,15,0.15,5.45,24/08/2023 12:58,T-500658
