ProductID,ProductName,Price,CategoryID,Class,ModifyDate,Resistant,IsAllergic,VitalityDays
1,Flour - Whole Wheat,74.2988,2,Medium,21:49.2,Durable,Unknown,0
2,Cookie Chocolate Chip With,91.2329,1,Medium,39:11.0,Unknown,Unknown,0
3,Onions - Cippolini,9.1379,5,Medium,11:51.6,Weak,FALSE,111
4,"Sauce - Gravy, Au Jus, Mix",54.3055,3,Medium,46:28.9,Durable,Unknown,0
5,Artichokes - Jerusalem,65.4771,5,Low,13:35.4,Durable,TRUE,27
6,Wine - Magnotta - Cab Sauv,79.7184,13,High,08:39.7,Unknown,Unknown,0
7,Table Cloth - 53x69 Colour,31.837,10,Medium,14:30.0,Durable,FALSE,0
8,Halibut - Steaks,89.8573,6,Medium,21:21.9,Unknown,TRUE,108
9,Rabbit - Whole,84.4219,9,Medium,12:04.7,Durable,Unknown,0
10,Scampi Tail,95.0957,10,Low,11:46.0,Weak,TRUE,105
11,Garbage Bags - Clear,6.2949,10,Low,02:21.3,Durable,TRUE,67
12,Ezy Change Mophandle,49.3356,10,Medium,49:59.0,Durable,TRUE,0
13,"Water, Tap",28.2232,8,Low,49:10.9,Durable,FALSE,69
14,Beef - Top Sirloin,3.3324,7,Medium,40:47.8,Durable,TRUE,0
15,"Spoon - Soup, Plastic",32.442,10,Low,47:09.3,Weak,TRUE,0
16,Kellogs Special K Cereal,54.7246,2,Low,25:47.1,Durable,TRUE,0
17,"Wine - White, Mosel Gold",43.9182,13,Medium,03:04.9,Unknown,Unknown,0
18,"Lamb - Whole, Fresh",23.3966,7,Medium,45:04.7,Unknown,FALSE,0
19,Tea - Earl Grey,22.5614,8,Medium,39:53.3,Weak,TRUE,94
20,Chocolate - Feathers,85.9011,1,Low,13:57.5,Durable,TRUE,0
21,Kiwi,46.7252,5,High,59:46.1,Durable,Unknown,0
22,Rice - Jasmine Sented,27.8955,2,Medium,08:23.6,Weak,Unknown,48
23,Crab - Imitation Flakes,79.0184,6,Medium,18:29.9,Durable,TRUE,0
24,"Beer - Alexander Kieths, Pale Ale",89.037,12,Medium,36:02.4,Durable,TRUE,65
25,Soupcontfoam16oz 116con,80.7666,10,High,30:41.2,Durable,TRUE,0
26,Squid U5 - Thailand,33.7821,6,Medium,31:27.0,Weak,FALSE,10
27,Chocolate - Compound Coating,17.1724,1,Medium,27:27.3,Unknown,Unknown,86
28,Sobe - Tropical Energy,12.3153,8,High,23:48.2,Durable,TRUE,0
